"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"31",5,28,4,16,6,26,2,18,0,0,1,40,14,2,9,10,14,9,1,12
"32",30,4,0,1,24,6,0,5,44,0,31,0,15,14,14,1,8,2,46,8
"33",4,4,31,14,9,6,34,4,68,3,7,0,27,4,1,29,6,15,37,7
"34",3,3,8,21,2,8,0,5,1,11,18,18,8,0,6,5,6,8,16,1
"35",17,8,1,8,3,9,11,10,7,15,1,1,49,18,5,0,1,8,21,2
"36",7,1,6,5,0,12,3,28,3,0,21,11,14,3,2,7,16,7,9,9
"37",0,0,26,20,2,0,1,2,9,1,10,0,4,10,26,42,8,5,2,3
"38",3,2,0,33,33,4,2,8,16,15,7,3,2,3,8,2,14,3,6,0
"39",3,10,3,30,5,3,1,12,16,6,17,6,12,1,0,9,2,8,6,5
"40",19,30,17,8,1,26,30,4,16,10,4,2,10,3,8,10,29,8,15,2
"41",7,11,3,10,24,29,8,4,13,8,20,18,15,0,3,10,2,7,20,9
"42",6,0,22,4,12,12,3,16,7,7,1,1,17,6,3,5,2,0,5,51
"43",3,1,39,6,18,46,0,4,10,18,1,3,1,16,3,2,7,1,15,6
"44",14,0,0,0,14,1,26,10,21,24,9,16,11,38,2,14,4,7,9,12
"45",15,2,2,5,7,1,13,7,7,38,18,1,0,2,12,33,7,30,4,4
"46",4,9,13,2,1,0,2,4,12,15,0,3,8,1,8,29,2,0,32,4
"47",41,18,0,20,15,23,40,16,6,1,18,36,4,1,0,2,17,9,8,9
"48",11,33,7,0,6,5,3,3,12,5,15,2,6,1,23,16,9,23,17,5
"49",0,14,24,35,4,5,32,18,12,3,1,0,3,4,20,38,5,4,7,6
"50",68,35,12,38,15,0,0,4,8,5,26,11,0,5,3,7,21,5,3,1
"51",1,0,21,18,43,0,0,9,18,15,3,28,4,23,9,10,6,29,3,17
"52",16,13,16,20,3,0,7,11,5,1,1,17,4,4,32,21,6,19,23,41
"53",11,21,7,13,3,16,0,5,2,4,4,0,5,4,3,24,29,10,0,2
"54",2,1,5,9,2,10,0,11,2,13,1,11,15,1,4,5,6,1,4,3
"55",5,22,7,6,0,5,24,8,3,0,16,1,17,1,4,2,8,45,26,17
"56",1,20,12,12,13,25,0,7,7,12,0,6,2,28,1,5,15,24,5,18
"57",14,0,0,7,26,35,3,39,0,9,7,5,9,8,21,13,7,10,10,1
"58",9,7,22,8,12,10,2,2,2,4,2,8,10,18,1,12,0,1,7,12
"59",3,8,9,5,19,17,22,28,16,3,12,10,2,6,0,0,27,26,3,1
"60",84,0,0,9,4,22,11,7,2,0,3,2,52,1,9,14,0,19,6,4
"61",4,38,0,0,45,10,12,65,2,0,1,6,7,13,1,5,0,17,7,20
"62",10,5,0,8,5,5,5,4,4,5,15,21,0,6,5,6,2,3,9,13
"63",0,24,7,10,4,12,2,5,3,1,10,7,6,3,2,12,10,5,10,10
"64",4,2,35,0,12,52,0,14,12,9,1,4,30,3,1,31,8,6,2,11
"65",2,4,13,3,21,22,26,1,15,42,5,34,4,4,1,7,8,13,11,30
"66",2,22,14,11,3,10,32,11,0,13,3,10,4,6,16,5,12,6,7,23
"67",15,14,3,6,14,13,2,3,15,5,37,1,0,1,9,14,9,42,6,3
"68",5,1,2,0,8,9,6,11,3,5,0,19,4,6,5,0,2,2,6,20
"69",4,0,8,9,2,4,5,6,7,22,21,3,9,2,5,6,13,10,2,8
"70",0,7,7,14,12,12,0,0,15,0,6,5,17,19,6,0,1,17,2,10
"71",57,10,3,3,22,2,5,4,5,13,11,15,1,22,25,6,1,5,17,2
"72",2,9,30,7,2,2,27,0,17,39,13,7,6,13,9,14,2,22,16,12
"73",6,13,3,10,38,6,4,4,7,12,2,7,3,48,8,12,6,3,4,0
"74",5,9,13,10,1,3,4,7,9,18,27,11,7,1,25,4,3,16,2,12
"75",10,33,9,15,7,3,53,9,0,7,0,7,4,6,6,28,0,3,22,10
"76",66,18,7,1,12,13,8,12,5,2,0,5,26,0,37,14,3,5,24,3
"77",11,1,3,4,15,3,30,10,18,5,1,4,24,5,12,11,32,5,14,19
"78",2,36,2,24,6,35,6,26,0,42,0,4,19,2,7,1,0,15,4,4
"79",6,10,23,4,15,0,3,1,1,36,0,1,2,1,0,5,6,5,1,0
"80",11,39,6,9,1,5,17,5,29,4,1,7,6,36,5,0,17,6,15,9
"81",13,9,22,24,0,20,14,0,0,0,20,24,7,9,30,7,54,6,19,0
"82",1,12,23,0,0,13,20,7,4,12,31,16,8,8,13,3,17,22,15,0
"83",1,10,18,3,16,10,3,13,18,10,6,3,1,8,2,5,3,20,3,6
"84",4,25,12,8,0,28,10,0,8,3,1,6,14,5,2,3,11,1,9,12
"85",12,5,0,3,15,11,16,5,9,7,10,4,10,13,24,28,5,0,12,4
"86",1,2,3,7,16,4,0,5,2,38,0,2,2,3,0,6,7,1,4,2
"87",4,15,11,9,3,13,9,6,4,2,33,6,17,1,10,0,6,17,8,2
"88",4,28,17,2,4,7,30,2,9,14,17,16,53,1,12,7,12,6,5,17
"89",4,7,5,17,2,5,14,19,15,18,6,11,23,3,2,5,5,5,22,19
"90",6,2,17,8,0,8,7,1,27,2,8,7,19,12,3,9,14,8,3,10
"91",25,16,14,7,0,13,0,3,2,17,3,20,6,0,20,10,0,18,5,7
"92",15,9,3,12,16,7,48,21,1,11,2,19,12,6,0,2,10,2,9,5
"93",23,9,14,26,32,0,13,17,8,13,3,3,25,3,2,11,4,2,2,17
"94",12,24,9,14,33,6,3,7,46,16,18,5,3,16,1,5,1,0,9,21
"95",6,25,18,15,0,0,22,3,13,5,7,2,8,0,15,5,12,3,37,2
"96",17,15,5,11,14,0,5,1,2,7,0,12,5,5,7,9,3,23,12,0
"97",1,3,9,12,13,27,9,7,50,21,5,14,15,4,13,7,4,38,9,1
"98",4,2,17,10,44,0,3,9,3,11,4,6,18,7,0,3,0,9,17,2
"99",9,12,28,6,2,0,10,4,21,15,6,3,2,12,9,4,13,4,2,9
"100",5,15,14,14,7,7,25,0,1,0,6,8,13,18,0,4,6,3,24,8
